Field ID,UI Label,Logic Type,Logic Text
H1,Brand,INFO,"Prepends (New) if brand has no prior unapproved projects"
H4,Approval Type,INFO,"Values: Project · Plafond · Project+Plafond · PO/Invoice · PO/Invoice+Plafond"
P3,Secondary Analyst,HIDE,"PIC row omitted when secondary analyst is blank (null / empty)"
D3,Sector,WARN,"Banner above rows when sectorWarning is set on the project"
D6,Requested Project Amount,WARN,"Banner when computed amount exceeds current plafond (non-plafond approval types) or proposed plafond (plafond types)"
L1,Limit Status,HIDE,"Entire Plafond card omitted when not a plafond-type approval and no current limit on file"
L2,Total Limit,ERROR,"Red issue badge on section when any stored remaining (total / PO / WC) is negative"
L6,Outstanding,HIDE,"Hidden on Current row when Proposed deltas row is visible (remaining shown in footnote instead)"
L7,Limit Remaining,HIDE,"Omitted from Current cells when Proposed row is present"
L8,Superseded row,HIDE,"No superseded rows when there is no prior limit history"
L9,Max review date (B_MOD),HIDE,"Column hidden for non-Asset-B projects"
F1,Submitted,HIDE,"Entire financial reviews table replaced by No financial reviews on record when zero reviews exist"
F1,Submitted,WARN,"Stale banner in Warnings column when that row is >2 months old (per row not only the latest)"
F4,Limit Recommendation,INFO,"Values: Keep · Increase · Decrease"
K1,Referral Source,INFO,"Values: Cold Calling · Karma.Club Website · Karma Staff · Karmapreneur · Ex-Karma Staff · Potential Karmapreneur · Karma Node · KarmaClub Member"
K1,Referral Source,INFO,"Display: Cold Calling and Karma.Club Website show source name only. All others show Name (Source) or Name (Source – Brand). Karmapreneur always includes the brand name."
K2,Specific Referror,HIDE,"Not shown when empty"
K3,Referror's KP/Brand,HIDE,"Not shown when empty"
K6,Financials link,HIDE,"Block omitted when there is no link"
K7,Notes feed,HIDE,"Section omitted when there are no notes"
C4,Key Person?,ERROR,"Error if a Key Person has no SLIK file on record: SLIK-Key Person file missing for [name]"
C6,SLIK-Key Person File URL,HIDE,"Key Person with no URL shows Missing. Non-key persons show —"
C7,SLIK-Key Person Exec Summary,HIDE,"Non-key persons or empty summary shows —"
C7,SLIK-Key Person Exec Summary,WARN,"Yellow highlight box when present"
T4,Total Disbursements,WARN,"Red banner when sum of planned tranches does not equal trancheTargetAmount or requestedAmount"
E3,Account Number,WARN,"Account drift warnings from prior projects when applicable"
E4,Accountholder Name,WARN,"Warning list includes accountholder vs PT name mismatch"
E5,SLIK-PT File URL,HIDE,"Shows Missing when URL absent and row still rendered"
E6,SLIK-PT Exec Summary,HIDE,"Shows Missing when summary absent"
E7,PT Warnings,HIDE,"Shows — when there are no warnings"
O1,Funding Source,WARN,"Members projects show inline warning chip"
O2,Bank Details for PT (Members),HIDE,"Row not shown unless funding includes Members investors"
O2,Bank Details for PT (Members),WARN,"Amber text when Members and not reviewed"
O3,Tax Withholdings,WARN,"Red helper text when withholdings = No or prior project had No"
A1,IC vote rows + rule banner,HIDE,"Special notes banner omitted when there are no special notes"
A1,IC vote rows + rule banner,INFO,"Required vote count depends on financing amount tiers"
A3,Conditions Subsequent,HIDE,"Block omitted when conditionsSubsequent is empty"
