Section,Sub-section,Display Label,Source Table,Coda Column,Column Type,Read/Write Status,Notes
1. Project Header,,Brand (KP Name),Project,KP/Brand,lookup → Brand,WRITABLE,Append "(New)" if Brand has no prior approved projects
1. Project Header,,Project Name,Project,Project Name,text,WRITABLE,UI should suggest Suggested Project Name (one-time use) [FORMULA] and allow analyst to accept
1. Project Header,,Approval Type,Project,Approval Type,lookup,WRITABLE,"Display as tag; values: Project, Plafond, Project+Plafond, PO/Invoice+Plafond, PO/Invoice"
2. PIC,,Submitter,Project,Created by,person,FORMULA,Auto-set by Coda at row creation
2. PIC,,Primary Analyst,Project,Primary Analyst,lookup → People,WRITABLE,
2. PIC,,Secondary Analyst,Project,Secondary Analyst,lookup → People,WRITABLE,
3. Project Details,,Project # for KP,Project,Project Number (derived),num,FORMULA,Derived; read-only
3. Project Details,,Brand's Active Projects,Brand,Active Projects,text,FORMULA,Roll-up on Brand table
3. Project Details,,Brand's Completed Projects,Brand,Completed Projects,text,FORMULA,Roll-up on Brand table
3. Project Details,,Brand's Before IC Projects,Brand,Before IC Projects,text,FORMULA,"Roll-up on Brand table; deduct current project from count when displaying"
3. Project Details,,Brand's Pending Disbursement Projects,Brand,Pending Disbursement Projects,text,FORMULA,Roll-up on Brand table
3. Project Details,,Main Sector,Project,Main Sector,lookup,WRITABLE,Display as tag
3. Project Details,,Sub-Sector,Project,Sub-Sector,lookup,WRITABLE,"Display as tag; conditional on sector"
3. Project Details,,Sector Warning,Project,—,—,APP LOGIC,"Warn if sector/sub-sector differs from any KP prior projects: ""Warning: Previous project [X] from [KP] had sector [A/B]..."""
3. Project Details,,Syariah,Project,Syariah,check,WRITABLE,"Only display if TRUE; show as ""Syariah"" tag"
3. Project Details,,Asset Class,Project,Asset Class,lookup,WRITABLE,Display as tag
3. Project Details,,Requested Amount,Project,Denomination Currency + IDR/ USD Project Target Amount,sl + num,WRITABLE,"Format as ""[Ccy] [Amount]"""
3. Project Details,,Amount Warning,Project,Analyst's Warning on Target Project Amount,text,FORMULA,Already computed in Coda; display as-is
3. Project Details,,Financing Use,Project,Financing Use,lookup,WRITABLE,Display as tag
4. Plafond,4a. Proposed,Proposed Total Limit,Project,IDR Requested Total Limit,curr,WRITABLE,"Highlight green if different from current; show ""+/- X from current"""
4. Plafond,4a. Proposed,Proposed PO Sub-Limit,Project,IDR Requested Sub-Limit for PO,curr,WRITABLE,Same highlight logic
