Field ID,Section,UI Label (Field Guide),Coda Table,Coda Field Name (best guess),Field Type,Relation From (if applicable),Notes / Open Questions,Logic Type,Logic Text
V1,Payor / Invoice Details — Submission Assessment,Existence & Authenticity of Supporting Docs,Project,Existence & Authenticity of Supporting Docs,Select (1–5 scale),,Does not yet exist in Coda. Shared by B-PO and B-Invoice. Scale options should be stored as a lookup table for consistency.,,
V2,Payor / Invoice Details — Submission Assessment,Likelihood of Payer Changing Scope & Timeline,Project,Likelihood of Payer Changing Scope & Timeline,Select (1–5 scale),,B-PO only. Does not yet exist in Coda. Should be hidden/disabled in the Coda form for B-Invoice projects.,,
V3,Payor / Invoice Details — Submission Assessment,Competency & History of Karmapreneur,Project,Competency & History of Karmapreneur,Select (1–5 scale),,B-PO only. Does not yet exist in Coda. Could potentially be auto-suggested from KP brand track record in a future iteration.,,
V4,Payor / Invoice Details — Submission Assessment,Suggested Max PO / Invoice Limit,Project,Suggested Max PO/Invoice Limit,Number (IDR),,"One field for both B-PO and B-Invoice. UI label adapts by asset sub-type. Does not yet exist in Coda.",,
V5,Payor / Invoice Details — Submission Assessment,Authenticity & Veracity of Invoice and BAST,Project,Authenticity & Veracity of Invoice and BAST,Select (1–5 scale),,B-Invoice only. Does not yet exist in Coda. BAST = Berita Acara Serah Terima. Should be hidden for B-PO projects.,,
V6,Payor / Invoice Details — Per Payer,Payor,PO / Invoice Lines,Payor (lookup),Lookup → Payer table,Project → PO / Invoice Lines,Confirm whether one project can have multiple payor lines and whether Payer is an existing master table in Coda.,,
V7,Payor / Invoice Details — Per Payer,PO / Invoice #,PO / Invoice Lines,PO / Invoice Number,Text (free),Project → PO / Invoice Lines,Confirm whether this field already exists in Coda and its exact column name.,,
V8,Payor / Invoice Details — Per Payer,Due Date,PO / Invoice Lines,Due Date,Date,Project → PO / Invoice Lines,Likely already exists in Coda. Tenor-end offset shown in the app is computed client-side — no separate Coda column needed.,,
V9,Payor / Invoice Details — Per Payer,Proportionalized PO / Invoice Amount,PO / Invoice Lines,Proportionalized Amount,Formula / Number (IDR),Project → PO / Invoice Lines,"Coda formula: thisRow.[PO/Invoice Amount] / thisTable.Filter(Project=thisRow.Project).[PO/Invoice Amount].Sum() * thisRow.[Project's IDR/USD Project Target Amount]. Represents each payor line's share of the project target. Actual (full) PO/Invoice Amount shown as gray subtext in the app.",,
V10,Payor / Invoice Details — Per Payer,Notes,PO / Invoice Lines,Notes,Text (long),Project → PO / Invoice Lines,May already exist in Coda. Confirm column name on the PO/Invoice lines table.,,
V11,Payor / Invoice Details — Per Payer,Strength of Payer,Payer,Strength of Payer,Select (1–5 scale),PO / Invoice Lines → Payer,"Stored on the Payer master table — shared across all KPs and projects. One rating per Payer entity, updated as new diligence is done.",,
V12,Payor / Invoice Details — Per Payer,History — Paying On Time,Payer–KP Junction,History of Payer Paying On Time,Select (1–5 scale),PO / Invoice Lines → Payer–KP Junction,"Unique per Payer × KP combination. Requires a Payer–KP junction table if one does not already exist. Reflects this specific KP's AR history with this specific payer, not the payer's general reputation.",,
V13,Payor / Invoice Details — Per Payer,Suggested IDR Ceiling for This Payor,PO / Invoice Lines,Suggested IDR Ceiling for This Payor,Number (IDR),Project → PO / Invoice Lines,Analyst-entered per submission. Does not yet exist in Coda. Consider whether a hard validation rule or formula cap should be enforced in Coda.,,
V14,Payor / Invoice Details — Per Payer,Outstanding Principal Owed for This Payor,PO / Invoice Lines,Outstanding Principal for This Payor,Number (IDR) — LMS-sourced,Project → PO / Invoice Lines,Sourced from LMS / Reporting Layer. Should reflect real-time outstanding for this Payer × KP combo across all active Karma projects. Confirm sync frequency and whether a last-updated timestamp should be surfaced in the UI.,warn,Show warning if value is stale or unavailable from LMS
V15,Payor / Invoice Details — Per Payer,Limit Validation for This Payor,—,— (computed),Computed (app-side only),—,"No Coda column needed. Formula: V14 (Outstanding) + V9 (Proportionalized Amount) vs V13 (Suggested IDR Ceiling). A mirrored Coda formula column could replicate this for reporting purposes.",info,Green text when Outstanding + Proportionalized < Suggested Ceiling
V15,Payor / Invoice Details — Per Payer,Limit Validation for This Payor,—,— (computed),Computed (app-side only),—,"No Coda column needed. Formula: V14 (Outstanding) + V9 (Proportionalized Amount) vs V13 (Suggested IDR Ceiling). A mirrored Coda formula column could replicate this for reporting purposes.",error,Red text when Outstanding + Proportionalized ≥ Suggested Ceiling
